name,Longitude,Latitude,bus_i,voltagegra,capacity
中双港站,121.405,31.662,3501,220,20
堡北站,121.631,31.572,3516,220,20
陈家镇站,121.81,31.498,3517,220,20
红星站,121.372,31.787,3507,110,20
南门站,121.394,31.618,3505,110,20
新海站,121.297,31.819,3506,110,20
长江站,121.539,31.678,3508,110,10
竖河站,121.591,31.602,3509,110,10
汲浜站,121.761,31.533,3526,110,10
中双港站,121.405,31.662,3502,220,30
建设站,121.456,31.655,3503,35,30
大同站,121.489,31.627,3504,35,30
长江站,121.539,31.678,3510,110,30
新河站,121.525,31.583,3511,35,30
三星站,121.288,31.744,3512,35,30
东风站,121.491,31.712,3513,35,30
庙镇站,121.35,31.714,3514,35,30
启隆站,121.456,31.775,3515,35,30
堡镇站,121.619,31.537,3518,35,30
上船站,121.555,31.562,3519,35,30
上船站,121.555,31.562,3520,35,30
前进站,121.6,31.643,3521,35,20
港沿站,121.657,31.589,3522,35,20
裕安站,121.831,31.524,3523,35,20
前哨站,121.87,31.526,3524,35,20
东滩风电,121.881944,31.555,3525,35,20
五滧站,121.664,31.54,3527,35,20
